No,index, name, address, latitude, longtitude,경도,위도
126,126,신탄진동주민센터,대덕구 신탄진동 120-1,,,127.429143371106,36.4516473093146
127,127,신탄진역,대덕구 신탄진동 147-6,,,127.42903384367,36.4484557342077
129,129,신탄진고네거리,대덕구 신탄진동 149-6,,,127.436021320793,36.4483227316827
130,130,용정초등학교,대덕구 신탄진동 52-1,,,127.436508297253,36.4539253706877
131,131,에코공원,대덕구 신탄진동 산1-7,,,127.444418127854,36.4487625705116
132,132,삼정삼거리,대덕구 삼정동 산27-4,,,127.456695605178,36.4494939978598
133,133,오룡역 7번출구,중구 용두동 113-12,,,127.405825668604,36.3283653436005
134,134,중도일보,중구 오류동 175-3,,,127.407771751406,36.3259134776525
135,135,서대전역네거리,중구 오류동 168-7,,,127.405938409477,36.3210444167976
136,136,중구청역 1번출구(중구청의회),중구 대흥동 499-1,,,127.42137731001,36.3254793137816
137,137,센트럴파크(302동),중구 문화동 1-256,,,127.411516995874,36.3186860862646
138,138,센트럴파크(105동),중구 문화동 284-168,,,127.40662238824,36.3162800446662
140,140,대전시민대학 정문,중구 선화동 287-2,,,127.420373961592,36.3267416367271
141,141,대전세무서,중구 선화동 184-1,,,127.419112442895,36.330679169368
142,142,선화참좋은아파트(유안타증권),중구 선화동 83-1,,,127.42229189149,36.3320470008655
143,143,중앙로역 3번출구,중구 대흥동 198-1,,,127.426029256238,36.3277751056079
147,147,도안 계룡리슈빌(1704동),서구 도안동 1370,,,127.344063471138,36.3151733667984
148,148,도안 금성백조(701동),유성구 봉명동 1038-1,,,127.344681900759,36.3481627990396
149,149,도안 트리풀시티5단지(509동),유성구 상대동 495,,,127.338903008221,36.3455239768269
151,151,우송대 정문(건너편),동구 자양동 58-12,,,127.447842988241,36.3369783279629
152,152,대전역(대한통운 맞은편),동구 정동 15-23,,,127.431875119673,36.332386901635
153,153,대동역 4번출구,동구 대동 148-112,,,127.442407577296,36.3296721050694
154,154,한남오거리,대덕구 오정동 731,,,127.415415521818,36.3498744910082
155,155,오정동 운암빌딩,대덕구 오정동 61-13,,,127.41122819889,36.3586084452566
156,156,중촌네거리(목동우체국 방면),중구 중촌동 398-14,,,127.414913153604,36.3359934871249
157,157,중촌초등학교(건너편),중구 중촌동 462,,,127.411078234685,36.3404982029061
158,158,전자통신연구원,유성구 가정동 160-2,,,127.368208274927,36.3839662037697
159,159,연구단지네거리,유성구 도룡동 393-2,,,127.376853147679,36.3853886292075
160,160,연구단지운동장(건너편),유성구 신성동 108-2,,,127.353741335321,36.3854091169852
161,161,연구단지 KT_G(건너편),유성구 신성동 산19-3,,,127.349109062378,36.3848178958188
162,162,송강체육관,유성구 송강동 200-2,,,127.386874707561,36.4317200085504
163,163,송강초등학교,유성구 송강동 199,,,127.382289572043,36.4321702030499
164,164,롯데마트(관평점),유성구 관평동 1286,,,127.392141311124,36.4289922058557
165,165,배울네거리,유성구 관평동 912,,,127.387788482822,36.4219161032813
166,166,인동네거리,동구 인동 116-18,,,127.437980703049,36.3219695574087
167,167,원동네거리,동구 원동 36-1,,,127.434613490899,36.3270579354848
168,168,성남네거리,동구 성남동 50-1,,,127.435435867303,36.3409809781117
169,169,삼성네거리,동구 삼성동 112-1,,,127.429812044161,36.3359535087633
170,170,대전고오거리,중구 대흥동 320-2,,,127.424674527603,36.3222077015938
171,171,대흥네거리,중구 대흥동 173-5,,,127.428498811027,36.3236625288311
172,172,부사네거리,중구 부사동 129-5,,,127.433870434461,36.3134384898196
173,173,무지개아파트,서구 월평동 298,,,127.376915305248,36.3581831383314
174,174,가수원네거리(전통시장 입구),서구 가수원동 764-11,,,127.35299572996,36.3047152073429
175,175,건양대네거리,서구 관저동 999,,,127.338922086848,36.3033913973711
176,176,관저2동주민센터,서구 관저동 1104,,,127.335250619783,36.2992272998321
177,177,관저1동주민센터,서구 관저동 999-3,,,127.337325535457,36.3038024255529
178,178,노은역 3번출구,유성구 지족동 901-5,,,127.318418680512,36.374465862872
179,179,반석역 1번출구,유성구 반석동 694,,,127.314853414169,36.3912277272557
180,180,전민동주민센터(건너편),유성구 전민동 304-5,,,127.401806398043,36.399374506213
181,181,엑스포아파트4단지(건너편),유성구 전민동 385-8,,,127.404579549453,36.3969825327942
182,182,한밭대 입구,유성구 덕명동 16-1,,,127.301086114346,36.3509186074405
183,183,현충원역 3번출구,유성구 구암동 424-67,,,127.320349066477,36.3597024120294
184,184,오정우체국(건너편),대덕구 오정동 432-4,,,127.415784056949,36.3525922282395
185,185,비래동 산림조합,대덕구 비래동 123-7,,,127.447292522862,36.3550349593976
186,186,한밭수목원2,서구 만년동 396,,,127.387783442708,36.3679320724167
188,188,구봉초등학교(건너편),서구 관저동 1147,,,127.32969009547,36.2986558018905
190,190,교촌제이파크(101동),유성구 교촌동 617,,,127.319005393464,36.304548701268
191,191,신흥마을아파트(102동),동구 신흥동 212,,,127.445005416026,36.3203104986787
192,192,보문산오거리,중구 대사동 118-9,,,127.425538947669,36.3176561267427
193,193,석교동주민센터,중구 석교동 12-7,,,127.442010427661,36.3099167098306
194,194,호동우체국(건너편),중구 호동 10-14,,,127.448885538392,36.3050180809563
195,195,한밭도서관,중구 문화동 141,,,127.409319553839,36.3114918711876
196,196,대덕문화원,대덕구 읍내동 324-5,,,127.420618442821,36.3741073928329
197,197,농도원네거리,서구 도마동 65-56,,,127.37750496755,36.3203157438313
198,198,도마네거리,서구 도마동 172-13,,,127.379327429386,36.3139313499629
199,199,노은1동주민센터,유성구 노은동 546,,,127.318447834496,36.3682617481779
200,200,지족역 2번출구(건너편),유성구 지족동 840-2,,,127.319097145719,36.3831307010254
201,201,노은3동주민센터,유성구 지족동 1024-2,,,127.307981078972,36.3867920036213
202,202,도안초등학교,서구 도안동 1364,,,127.345893826887,36.3196438286602
204,204,낭월 오투그란데(108동 맞은편),동구 낭월동 215-2,,,127.465812664694,36.2851607516831
205,205,대성삼거리,동구 대성동 200-4,,,127.460309384035,36.2952186521581
206,206,대전대 후문,동구 용운동 631,,,127.456750528907,36.3346084639574
207,207,가양초등학교,동구 가양동 288-6,,,127.442569716404,36.3435588592461
208,208,회덕농협(건너편),대덕구 읍내동 573-4,,,127.427115395405,36.3787405885356
209,209,동부평생교육원,대덕구 법동 440-1,,,127.428345236036,36.3743473401179
211,211,석봉문화센터,대덕구 석봉동 184-1,,,127.426236918318,36.447149113861
212,212,대덕구보건소네거리(자연애마트),대덕구 덕암동 12-1,,,127.425127341254,36.443829891557
213,213,송림네거리,유성구 하기동 516,,,127.32061631189,36.3872631485434
214,214,외삼네거리(603동),유성구 반석동 613,,,127.309135083239,36.3942732005011
215,215,지족초등학교,유성구 지족동 853,,,127.316658254912,36.3791789250702
216,216,건양대학교병원,서구 관저동 1900,,,127.341640985233,36.3043466360453
217,217,초록마을아파트3단지,서구 복수동 613,,,127.378966197492,36.3005127355351
218,218,충대병원입구(건너편),중구 대사동 248-29,,,127.418258399899,36.3157738829721
219,219,문화초등학교네거리,중구 유천동 168-8,,,127.399600242316,36.3130713266375
220,220,머티네거리,중구 산성동 160-9,,,127.388219747699,36.30912911974
221,221,갈마중학교(서부장로교회),서구 갈마동 338-1,,,127.368624941744,36.3494839664014
222,222,갈마아파트 한마음동산,서구 갈마동 392-6,,,127.368011909232,36.3441261370728
223,223,가양비래공원네거리,대덕구 비래동 47-1,,,127.455295431389,36.3537917914229
224,224,정림삼거리,서구 정림동 497,,,127.363838629307,36.3070754386184
225,225,대전보건대,동구 가양동 88-1,,,127.452080127504,36.3490434812124
226,226,대정동 모다아울렛,유성구 대정동 303-2,,,127.318980344817,36.3126480479675
228,228,노은3지구 트리풀시티포레(105동),유성구 지족동 1043,,,127.305118937265,36.3805062456661
229,229,송림마을5단지(502동),유성구 하기동 545,,,127.330085501633,36.389890494054
230,230,노은3지구 꿈에그린(201동),유성구 지족동 1093,,,127.3048534131,36.387922221775
231,231,덕명동 하우스토리(101동),유성구 덕명동 525,,,127.303547292284,36.3563962363107
232,232,온천2동주민센터,유성구 장대동 40-2,,,127.333413928798,36.3652638461347
233,233,대덕산업단지 BRT정류장,대덕구 문평동 92-1,,,127.39496413726,36.4386497316853
234,234,와동 현대아파트(대덕의원),대덕구 와동 372-7,,,127.423103572613,36.4008215934471
235,235,비래동 금성백조(102동),대덕구 비래동 130-7,,,127.450621987445,36.3579661880778
236,236,가양2동주민센터(건너편 한산아파트),동구 가양동 55-3,,,127.448179804576,36.3489024169202
237,237,변동네거리(복음천하교회),서구 변동 60-2,,,127.378133177592,36.3245070054618
238,238,내동네거리(컨벤션웨딩홀),서구 변동 70-9,,,127.376830632986,36.3306598941387
239,239,느리울중네거리,서구 관저동 1394,,,127.342498425436,36.2962467583085
240,240,서부경찰서,서구 복수동 292-14,,,127.373075028,36.3087004299642
241,241,사정동 웰빙24시 사우나,중구 사정동 401,,,127.384853125178,36.2965034925085
242,242,서대전역,중구 오류동 170-1,,,127.404698416493,36.3221204011557
243,243,솔브릿지 국제대학,동구 삼성동 151-13,,,127.43252532464,36.3383938351879
244,244,우송대 서문(건너편),동구 가양동 307-3,,,127.445966436249,36.3401323541449
245,245,천동초등학교,동구 천동 199-64,,,127.443906742629,36.3167137768865
246,246,용방마을아파트(301동),동구 용운동 460,,,127.45238852197,36.3264369788628
248,248,옥계동 새마을금고,중구 옥계동 46-15,,,127.454128248829,36.2988615697456
249,249,관저 금성백조(114동),서구 관저동 1574,,,127.334277214448,36.2959824408056
250,250,노은3지구 영무예다음(102동),유성구 지족동 1052,,,127.306983731032,36.3744296479914
251,251,관저 더샵(109동),서구 관저동 1985,,,127.329290586987,36.294561366389
252,252,대전정부청사 남문,서구 둔산동 1517,,,127.384901829014,36.3594949458344
253,253,가수원파출소(건너편),서구 가수원동 1373,,,127.351599978106,36.3083544628127
254,254,대전과학기술대학교 정문,서구 복수동 257-5,,,127.374824251771,36.3045372797455
255,255,용운국제수영장,동구 용운동 301-12,,,127.464841649495,36.3238888572017
256,256,신성동 수천이들 근린공원,유성구 신성동 494,,,127.353659525752,36.3940275989359
257,257,대전테크노파크,유성구 용산동 605,,,127.405313342343,36.4232957354141
258,258,천문대입구,유성구 신성동 458,,,127.354621765412,36.382712630695
259,259,대덕대학교,유성구 장동 48,,,127.365363769985,36.3906679199719
260,260,오정농수산물 도매시장,대덕구 오정동 45-1,,,127.407323992685,36.3578301615866
261,261,도로교통공단(건너편 라도무스),유성구 원신흥동 608,,,127.332875383175,36.3329558899814
262,262,(설치중)반석 더샵,유성구 반석동 704,,,127.304722547741,36.3900423395422
